"StockCode";"CUST_COUNT";"TOTALPRODREVENUE";"NO_OF_SALES";"AVG_REVENUE"
"22309";"44";"1027.30";"116";"8.856034"
"22310";"26";"1108.13";"102";"10.864020"
"22311";"52";"2978.96";"127";"23.456378"
"22312";"49";"1059.59";"103";"10.287282"
"22313";"32";"520.23";"52";"10.004423"
"22314";"49";"1295.57";"115";"11.265826"
"22315";"80";"916.43";"158";"5.800190"
"22316";"26";"698.62";"52";"13.435000"
"22317";"25";"614.17";"74";"8.299595"
"22318";"56";"1264.32";"129";"9.800930"
"22319";"41";"459.16";"48";"9.565833"
"22320";"36";"527.86";"48";"10.997083"
"22321";"31";"657.78";"113";"5.821062"
"22322";"25";"676.41";"133";"5.085789"
"22323";"2";"1.95";"2";"0.975000"
"22324";"16";"571.30";"69";"8.279710"
"22325";"38";"741.70";"76";"9.759211"
"22326";"158";"5886.87";"429";"13.722308"
"22327";"85";"3097.85";"262";"11.823855"
"22328";"144";"6809.87";"396";"17.196641"
"22329";"69";"1137.29";"192";"5.923385"
"22331";"60";"1043.14";"118";"8.840169"
"22332";"80";"1066.00";"132";"8.075758"
"22333";"118";"4436.49";"240";"18.485375"
"22334";"62";"696.16";"83";"8.387470"
"22335";"84";"1277.34";"219";"5.832603"
"22336";"44";"492.88";"76";"6.485263"
"22337";"19";"344.64";"70";"4.923429"
"22338";"90";"1068.30";"169";"6.321302"
"22339";"41";"393.96";"75";"5.252800"
"22340";"45";"652.12";"117";"5.573675"
"22341";"35";"748.43";"75";"9.979067"
"22342";"46";"978.08";"124";"7.887742"
"22343";"38";"487.20";"79";"6.167089"
"22344";"28";"287.70";"64";"4.495313"
"22345";"26";"288.20";"65";"4.433846"
"22346";"19";"233.58";"52";"4.491923"
"22348";"124";"2421.36";"321";"7.543178"
"22349";"80";"5160.27";"125";"41.282160"
"22350";"55";"3666.57";"115";"31.883217"
"22351";"2";"23.09";"3";"7.696667"
"22352";"135";"3635.62";"367";"9.906322"
"22353";"24";"155.55";"27";"5.761111"
"22354";"34";"1658.19";"67";"24.749104"
"22355";"211";"27596.30";"806";"34.238586"
"22356";"184";"9587.71";"675";"14.204015"
"22357";"62";"1876.79";"174";"10.786149"
"22358";"82";"2265.07";"248";"9.133347"
"22359";"47";"596.92";"85";"7.022588"
"22360";"97";"2621.77";"211";"12.425450"
"22361";"83";"2033.38";"258";"7.881318"
"22362";"56";"834.64";"131";"6.371298"
"22363";"40";"574.85";"76";"7.563816"
"22364";"64";"1678.12";"163";"10.295215"
"22365";"70";"4704.26";"160";"29.401625"
"22366";"87";"4376.98";"195";"22.446051"
"22367";"246";"4979.58";"470";"10.594851"
"22371";"135";"4544.44";"377";"12.054218"
"22372";"73";"1067.84";"139";"7.682302"
"22374";"89";"1860.97";"200";"9.304850"
"22375";"59";"1314.99";"154";"8.538896"
"22376";"57";"886.70";"109";"8.134862"
"22377";"70";"1890.08";"193";"9.793161"
"22378";"48";"2755.47";"263";"10.477072"
"22379";"166";"14755.94";"711";"20.753783"
"22380";"99";"2263.06";"260";"8.704077"
"22381";"122";"7030.69";"449";"15.658552"
"22382";"436";"13173.81";"1039";"12.679317"
"22383";"392";"18899.04";"1202";"15.722995"
"22384";"399";"13909.94";"1007";"13.813247"
"22385";"211";"14417.21";"624";"23.104503"
"22386";"341";"37754.82";"1160";"32.547259"
"22389";"31";"339.75";"40";"8.493750"
"22390";"9";"145.80";"19";"7.673684"
"22391";"17";"235.44";"27";"8.720000"
"22393";"38";"583.04";"61";"9.558033"
"22394";"16";"189.88";"22";"8.630909"
"22395";"14";"200.06";"31";"6.453548"
"22396";"67";"359.43";"106";"3.390849"
"22398";"132";"1018.74";"201";"5.068358"
"22399";"47";"412.18";"70";"5.888286"
"22400";"97";"544.11";"134";"4.060522"
"22402";"91";"666.81";"132";"5.051591"
"22403";"57";"558.17";"109";"5.120826"
"22405";"41";"317.25";"61";"5.200820"
"22406";"47";"370.96";"82";"4.523902"
"22407";"16";"69.28";"21";"3.299048"
"22408";"18";"132.44";"26";"5.093846"
"22409";"31";"220.97";"52";"4.249423"
"22410";"31";"211.49";"54";"3.916481"
"22411";"348";"26554.52";"1134";"23.416684"
"22412";"69";"1833.15";"143";"12.819231"
"22413";"208";"9530.99";"372";"25.620941"
"22414";"33";"1625.01";"93";"17.473226"
"22415";"14";"151.05";"14";"10.789286"
"22416";"39";"309.97";"57";"5.438070"
"22417";"223";"2452.64";"442";"5.548959"
"22418";"150";"3797.17";"274";"13.858285"
"22419";"83";"1449.36";"251";"5.774343"
"22420";"51";"586.52";"121";"4.847273"
"22421";"78";"1321.48";"210";"6.292762"
"22422";"45";"698.75";"196";"3.565051"
"22423";"774";"103366.10";"1689";"61.199586"
"22424";"185";"7790.27";"437";"17.826705"
"22425";"106";"2001.32";"158";"12.666582"
"22426";"100";"2588.31";"201";"12.877164"
"22427";"299";"11411.01";"479";"23.822568"
"22428";"75";"1699.63";"116";"14.651983"
"22429";"221";"4415.68";"363";"12.164408"
"22430";"123";"2738.14";"183";"14.962514"
"22431";"130";"3421.51";"294";"11.637789"
"22432";"126";"2525.32";"228";"11.075965"
"22433";"107";"2402.30";"209";"11.494258"
"22434";"80";"956.16";"108";"8.853333"
"22435";"130";"2286.85";"225";"10.163778"
"22436";"94";"1191.16";"150";"7.941067"
"22437";"112";"1337.89";"181";"7.391657"
"22438";"62";"941.69";"92";"10.235761"
"22439";"114";"1164.52";"193";"6.033782"
"22440";"91";"2221.32";"142";"15.643099"
"22441";"124";"2160.61";"212";"10.191557"
"22442";"65";"1027.86";"74";"13.890000"
"22443";"57";"1199.04";"86";"13.942326"
"22444";"27";"879.86";"59";"14.912881"
"22445";"53";"863.71";"104";"8.304904"
"22446";"17";"939.28";"124";"7.574839"
"22447";"11";"290.21";"39";"7.441282"
"22448";"21";"440.43";"35";"12.583714"
"22449";"44";"916.35";"114";"8.038158"
"22450";"34";"472.56";"49";"9.644082"
"22451";"31";"537.05";"51";"10.530392"
"22452";"35";"1087.71";"117";"9.296667"
"22453";"27";"858.34";"64";"13.411563"
"22454";"29";"627.22";"39";"16.082564"
"22456";"214";"8943.99";"463";"19.317473"
"22457";"577";"26955.56";"1220";"22.094721"
"22458";"13";"1421.83";"24";"59.242917"
"22459";"12";"1015.64";"27";"37.616296"
"22460";"119";"3176.00";"206";"15.417476"
"22461";"38";"1100.84";"55";"20.015273"
"22464";"189";"5163.85";"343";"15.054956"
"22465";"117";"2952.59";"189";"15.622169"
"22466";"90";"3763.79";"175";"21.507371"
"22467";"219";"12731.32";"576";"22.102986"
"22468";"74";"2737.84";"143";"19.145734"
"22469";"556";"31186.55";"1167";"26.723693"
"22470";"482";"29740.46";"918";"32.397015"
"22471";"39";"1107.60";"89";"12.444944"
"22472";"47";"754.65";"83";"9.092169"
"22473";"54";"1453.08";"105";"13.838857"
"22474";"58";"1102.62";"115";"9.588000"
"22475";"46";"1515.45";"136";"11.143015"
"22476";"57";"2649.66";"121";"21.898017"
"22477";"61";"1925.40";"123";"15.653659"
"22478";"54";"2068.12";"132";"15.667576"
"22479";"48";"1646.07";"97";"16.969794"
"22480";"54";"506.19";"68";"7.443971"
"22481";"67";"703.08";"126";"5.580000"
"22482";"37";"299.84";"47";"6.379574"
"22483";"77";"1357.59";"148";"9.172905"
"22485";"129";"4795.20";"192";"24.975000"
"22486";"10";"371.66";"26";"14.294615"
"22487";"261";"6424.51";"398";"16.141985"
"22488";"206";"5219.98";"407";"12.825504"
"22489";"206";"2322.59";"395";"5.879975"
"22491";"148";"1905.39";"199";"9.574824"
"22492";"160";"9192.77";"274";"33.550255"
"22493";"122";"3326.19";"210";"15.839000"
"22494";"61";"1073.01";"222";"4.833378"
"22495";"55";"636.72";"92";"6.920870"
"22496";"60";"469.58";"74";"6.345676"
"22497";"44";"1013.40";"92";"11.015217"
"22498";"65";"1936.72";"146";"13.265205"
"22499";"213";"12464.13";"402";"31.005299"
"22500";"75";"900.77";"92";"9.790978"
"22501";"178";"13673.33";"440";"31.075750"
"22502";"168";"11088.31";"459";"24.157538"
"22503";"11";"539.46";"28";"19.266429"
"22504";"15";"1798.20";"47";"38.259574"
"22505";"155";"3758.96";"254";"14.799055"
"22507";"209";"12766.31";"421";"30.323777"
"22508";"170";"6237.13";"284";"21.961725"
"22509";"61";"955.13";"72";"13.265694"
"22510";"29";"301.49";"36";"8.374722"
"22511";"39";"351.45";"47";"7.477660"
"22512";"27";"243.46";"36";"6.762778"
"22513";"35";"498.65";"64";"7.791406"
"22514";"56";"564.35";"97";"5.818041"
"22515";"48";"475.15";"82";"5.794512"
"22516";"29";"352.69";"55";"6.412545"
"22517";"43";"332.73";"63";"5.281429"
"22518";"40";"612.54";"79";"7.753671"
"22519";"49";"735.75";"86";"8.555233"
"22520";"81";"530.30";"108";"4.910185"
"22521";"75";"461.76";"100";"4.617600"
"22522";"95";"564.65";"124";"4.553629"
"22523";"93";"608.86";"132";"4.612576"
"22524";"48";"659.70";"78";"8.457692"
"22525";"38";"490.47";"72";"6.812083"
"22526";"54";"1058.94";"77";"13.752468"
"22528";"1";"3.36";"2";"1.680000"
"22529";"51";"308.71";"65";"4.749385"
"22530";"129";"968.72";"213";"4.547981"
"22531";"112";"841.75";"173";"4.865607"
"22532";"50";"333.57";"67";"4.978657"
"22533";"65";"405.95";"85";"4.775882"
"22534";"148";"1231.94";"229";"5.379651"
"22535";"82";"566.85";"125";"4.534800"
"22536";"105";"1269.89";"148";"8.580338"
"22537";"110";"743.20";"163";"4.559509"
"22538";"24";"144.68";"38";"3.807368"
"22539";"48";"343.08";"101";"3.396832"
"22540";"32";"335.06";"61";"5.492787"
"22541";"15";"54.65";"27";"2.024074"
"22543";"27";"144.46";"46";"3.140435"
"22544";"72";"584.34";"131";"4.460611"
"22545";"35";"222.55";"68";"3.272794"
"22546";"42";"216.36";"74";"2.923784"
"22547";"35";"237.55";"93";"2.554301"
"22548";"142";"2045.05";"197";"10.380964"
"22549";"168";"3272.08";"314";"10.420637"
"22550";"121";"3568.64";"184";"19.394783"
"22551";"243";"5892.56";"495";"11.904162"
"22553";"243";"4458.22";"490";"9.098408"
"22554";"242";"5172.32";"487";"10.620780"
"22555";"218";"5280.03";"389";"13.573342"
"22556";"213";"3591.61";"368";"9.759810"
"22557";"272";"4434.64";"490";"9.050286"
"22558";"320";"9735.23";"688";"14.150044"
"22559";"29";"485.65";"76";"6.390132"
"22560";"221";"8418.06";"368";"22.875163"
"22561";"266";"7394.52";"389";"19.009049"
"22562";"140";"1523.30";"201";"7.578607"
"22563";"161";"3000.54";"270";"11.113111"
"22564";"113";"2505.60";"179";"13.997765"
"22565";"81";"791.07";"142";"5.570915"
"22566";"92";"763.43";"147";"5.193401"
"22567";"110";"2336.84";"184";"12.700217"
"22568";"234";"10548.73";"451";"23.389645"
"22569";"185";"8840.87";"331";"26.709577"
"22570";"194";"9746.31";"374";"26.059652"
"22571";"128";"1683.44";"224";"7.515357"
"22572";"102";"1080.62";"164";"6.589146"
"22573";"118";"2220.70";"206";"10.780097"
"22574";"122";"1882.85";"208";"9.052163"
"22575";"59";"1147.97";"88";"13.045114"
"22576";"93";"1216.41";"158";"7.698797"
"22577";"329";"3723.72";"511";"7.287123"
"22578";"317";"3400.16";"481";"7.068940"
"22579";"208";"1642.42";"315";"5.214032"
"22580";"110";"5259.68";"217";"24.238157"
"22581";"82";"1065.88";"174";"6.125747"
"22582";"64";"1329.50";"92";"14.451087"
"22583";"61";"1144.55";"98";"11.679082"
"22584";"113";"4499.61";"179";"25.137486"
"22585";"208";"5715.66";"352";"16.237670"
"22586";"97";"707.40";"159";"4.449057"
"22587";"101";"751.47";"158";"4.756139"
"22588";"105";"1593.28";"169";"9.427692"
"22589";"44";"1162.84";"76";"15.300526"
"22591";"51";"1277.91";"84";"15.213214"
"22592";"77";"2779.65";"131";"21.218702"
"22593";"96";"1624.98";"182";"8.928462"
"22594";"83";"1597.24";"182";"8.776044"
"22595";"257";"3893.84";"439";"8.869795"
"22596";"191";"3965.77";"254";"15.613268"
"22597";"92";"1133.77";"183";"6.195464"
"22598";"41";"400.50";"94";"4.260638"
"22599";"58";"926.48";"123";"7.532358"
"22600";"114";"1348.58";"182";"7.409780"
"22601";"104";"1788.05";"177";"10.101977"
"22602";"134";"1826.67";"262";"6.972023"
"22603";"105";"1052.65";"163";"6.457975"
"22604";"69";"2462.16";"113";"21.789027"
"22605";"164";"6853.14";"270";"25.382000"
"22606";"102";"2694.29";"136";"19.810956"
"22607";"217";"11766.78";"344";"34.205756"
"22608";"56";"1053.08";"134";"7.858806"
"22609";"82";"1271.62";"146";"8.709726"
"22610";"110";"2399.68";"200";"11.998400"
"22611";"34";"1027.17";"43";"23.887674"
"22613";"62";"379.01";"115";"3.295739"
"22614";"112";"775.75";"194";"3.998711"
"22615";"45";"272.17";"84";"3.240119"
"22616";"182";"7639.64";"494";"15.464858"
"22617";"253";"8782.55";"404";"21.738985"
"22618";"25";"417.71";"29";"14.403793"
"22619";"216";"7545.29";"397";"19.005768"
"22620";"217";"4371.16";"395";"11.066228"
"22621";"345";"8700.20";"573";"15.183595"
"22622";"159";"11477.37";"238";"48.224244"
"22623";"151";"3797.94";"206";"18.436602"
"22624";"332";"11935.33";"606";"19.695264"
"22625";"253";"8833.85";"461";"19.162364"
"22626";"110";"2536.23";"162";"15.655741"
"22627";"161";"4648.14";"284";"16.366690"
"22628";"49";"2007.66";"141";"14.238723"
"22629";"234";"11180.87";"702";"15.927165"
"22630";"211";"8901.34";"700";"12.716200"
"22631";"104";"2826.62";"302";"9.359669"
"22632";"248";"7923.48";"379";"20.906280"
"22633";"299";"9929.22";"478";"20.772427"
"22634";"112";"4295.38";"169";"25.416450"
"22635";"106";"3488.89";"146";"23.896507"
"22636";"101";"2880.68";"143";"20.144615"
"22637";"161";"5609.23";"283";"19.820601"
"22638";"34";"433.43";"48";"9.029792"
"22639";"100";"1907.11";"146";"13.062397"
"22640";"32";"418.79";"55";"7.614364"
"22641";"24";"303.73";"37";"8.208919"
"22642";"39";"581.06";"50";"11.621200"
"22643";"30";"445.17";"48";"9.274375"
"22644";"131";"2529.73";"257";"9.843307"
"22645";"152";"4550.44";"341";"13.344399"
"22646";"165";"5042.33";"362";"13.929088"
"22647";"32";"399.94";"44";"9.089545"
"22649";"72";"2674.41";"175";"15.282343"
"22650";"70";"1059.60";"133";"7.966917"
"22651";"66";"1252.71";"161";"7.780807"
"22652";"231";"6714.97";"411";"16.338127"
"22653";"69";"2629.25";"242";"10.864669"
"22654";"139";"7115.74";"299";"23.798462"
"22655";"34";"459.54";"37";"12.420000"
"22656";"19";"179.82";"20";"8.991000"
"22659";"176";"18228.95";"651";"28.001459"
"22660";"51";"2052.02";"96";"21.375208"
"22661";"128";"2473.90";"345";"7.170725"
"22662";"274";"7211.53";"602";"11.979286"
"22663";"155";"5928.44";"425";"13.949271"
"22664";"58";"1351.05";"158";"8.550949"
"22665";"151";"4652.83";"339";"13.725162"
"22666";"440";"21762.15";"1034";"21.046567"
"22667";"210";"4968.55";"410";"12.118415"
"22668";"135";"5474.72";"310";"17.660387"
"22669";"124";"2820.20";"211";"13.365877"
"22670";"132";"2196.75";"285";"7.707895"
"22671";"74";"1290.90";"142";"9.090845"
"22672";"120";"2087.62";"214";"9.755234"
"22673";"82";"937.33";"128";"7.322891"
"22674";"102";"1294.94";"179";"7.234302"
"22675";"88";"1171.64";"155";"7.558968"
"22676";"61";"1554.64";"207";"7.510338"
"22677";"59";"1362.82";"193";"7.061244"
"22678";"59";"1126.56";"167";"6.745868"
"22679";"54";"999.28";"159";"6.284780"
"22680";"61";"1110.29";"159";"6.982956"
"22681";"45";"945.84";"131";"7.220153"
"22682";"52";"870.50";"119";"7.315126"
"22683";"53";"831.49";"126";"6.599127"
"22684";"40";"687.32";"102";"6.738431"
"22685";"49";"755.80";"104";"7.267308"
"22686";"39";"1233.38";"164";"7.520610"
"22687";"27";"2920.72";"51";"57.269020"
"22688";"20";"3208.00";"28";"114.571429"
"22689";"88";"3817.17";"138";"27.660652"
"22690";"179";"9032.61";"254";"35.561457"
"22691";"61";"2388.21";"115";"20.767043"
"22692";"197";"9315.13";"396";"23.523056"
"22693";"154";"16366.01";"275";"59.512764"
"22694";"227";"4050.12";"400";"10.125300"
"22695";"81";"995.69";"121";"8.228843"
"22696";"104";"1372.60";"144";"9.531944"
"22697";"354";"19902.40";"935";"21.285989"
"22698";"296";"15153.31";"705";"21.494057"
"22699";"386";"23736.42";"958";"24.777056"
"22700";"40";"2538.43";"51";"49.773137"
"22701";"38";"859.24";"113";"7.603894"
"22702";"32";"2621.65";"44";"59.582955"
"22703";"30";"581.23";"122";"4.764180"
"22704";"92";"1423.76";"125";"11.390080"
"22705";"50";"601.86";"58";"10.376897"
"22706";"57";"706.44";"63";"11.213333"
"22707";"36";"464.94";"43";"10.812558"
"22708";"64";"924.00";"83";"11.132530"
"22709";"30";"387.00";"31";"12.483871"
"22710";"71";"1590.92";"96";"16.572083"
"22711";"76";"977.34";"89";"10.981348"
"22712";"112";"1054.26";"265";"3.978340"
"22713";"105";"1428.96";"213";"6.708732"
"22714";"113";"1029.09";"205";"5.019951"
"22715";"68";"482.20";"114";"4.229825"
"22716";"134";"983.93";"235";"4.186936"
"22717";"66";"510.58";"127";"4.020315"
"22718";"64";"656.03";"162";"4.049568"
"22719";"26";"884.55";"116";"7.625431"
"22720";"570";"28934.01";"1246";"23.221517"
"22721";"167";"3909.83";"272";"14.374375"
"22722";"359";"20093.51";"773";"25.994191"
"22723";"158";"3719.62";"274";"13.575255"
"22725";"148";"6492.38";"381";"17.040367"
"22726";"279";"24099.81";"879";"27.417304"
"22727";"340";"26153.12";"931";"28.091429"
"22728";"242";"16169.15";"657";"24.610578"
"22729";"158";"7906.81";"399";"19.816566"
"22730";"214";"9906.90";"525";"18.870286"
"22731";"81";"1314.26";"139";"9.455108"
"22732";"94";"1977.75";"179";"11.048883"
"22733";"109";"1863.83";"186";"10.020591"
"22734";"250";"9216.86";"392";"23.512398"
"22735";"69";"1130.96";"130";"8.699692"
"22736";"118";"1921.80";"210";"9.151429"
"22737";"136";"2342.70";"242";"9.680579"
"22738";"139";"3500.57";"264";"13.259735"
"22739";"149";"2972.12";"292";"10.178493"
"22740";"70";"4569.62";"146";"31.298767"
"22741";"96";"6249.51";"212";"29.478821"
"22742";"62";"969.73";"83";"11.683494"
"22743";"103";"1922.66";"187";"10.281604"
"22744";"107";"1531.91";"149";"10.281275"
"22745";"179";"3476.19";"365";"9.523808"
"22746";"148";"2332.04";"284";"8.211408"
"22747";"99";"1419.95";"196";"7.244643"
"22748";"196";"3760.03";"376";"10.000080"
"22749";"252";"7412.47";"413";"17.947869"
"22750";"220";"5640.86";"370";"15.245568"
"22751";"163";"3599.62";"262";"13.739008"
"22752";"159";"10830.18";"341";"31.760059"
"22753";"87";"654.34";"203";"3.223350"
"22754";"107";"1165.45";"250";"4.661800"
"22755";"100";"1004.64";"237";"4.238987"
"22756";"65";"516.84";"118";"4.380000"
"22757";"75";"850.58";"154";"5.523247"
"22758";"77";"843.80";"164";"5.145122"
"22759";"227";"7443.74";"384";"19.384740"
"22760";"43";"2387.61";"72";"33.161250"
"22761";"19";"269.73";"23";"11.727391"
"22762";"68";"1268.73";"103";"12.317767"
"22763";"72";"1794.14";"103";"17.418835"
"22764";"3";"39.96";"5";"7.992000"
"22765";"4";"267.43";"6";"44.571667"
"22766";"271";"8758.04";"478";"18.322259"
"22767";"149";"6326.32";"203";"31.164138"
"22768";"179";"7342.51";"247";"29.726761"
"22769";"4";"-9.99";"9";"-1.110000"
"22770";"40";"749.25";"56";"13.379464"
"22771";"158";"8667.94";"422";"20.540142"
"22772";"78";"5012.95";"244";"20.544877"
"22773";"73";"2544.40";"178";"14.294382"
"22774";"52";"2731.94";"132";"20.696515"
"22775";"71";"4406.87";"227";"19.413524"
"22776";"314";"10212.47";"502";"20.343566"
"22777";"37";"2691.79";"61";"44.127705"
"22778";"74";"2753.85";"137";"20.101095"
"22779";"77";"4687.35";"129";"36.336047"
"22780";"76";"4194.09";"119";"35.244454"
"22781";"108";"3981.24";"214";"18.603925"
"22782";"60";"2251.22";"69";"32.626377"
"22783";"27";"4344.75";"31";"140.153226"
"22784";"184";"5734.37";"283";"20.262792"
"22785";"43";"885.25";"66";"13.412879"
"22786";"28";"569.59";"41";"13.892439"
"22788";"31";"1558.41";"53";"29.403962"
"22789";"102";"1686.27";"139";"12.131439"
"22791";"179";"9563.63";"335";"28.548149"
"22792";"99";"2611.03";"205";"12.736732"
"22794";"110";"2481.69";"176";"14.100511"
"22795";"161";"6302.65";"342";"18.428801"
"22796";"141";"4585.23";"209";"21.938900"
"22797";"57";"1062.96";"81";"13.122963"
"22798";"123";"5275.15";"261";"20.211303"
"22799";"66";"1454.34";"84";"17.313571"
"22800";"107";"3485.74";"201";"17.341990"
"22801";"117";"3975.50";"210";"18.930952"
"22802";"30";"830.37";"48";"17.299375"
"22803";"15";"499.50";"27";"18.500000"
"22804";"237";"6655.30";"445";"14.955730"
"22805";"68";"2412.28";"185";"13.039351"
"22806";"27";"641.64";"36";"17.823333"
"22807";"67";"2011.18";"185";"10.871243"
"22808";"48";"867.77";"71";"12.222113"
"22809";"134";"3555.90";"193";"18.424352"
"22810";"101";"2763.98";"162";"17.061605"
"22811";"37";"2345.54";"107";"21.920935"
"22812";"88";"2878.10";"179";"16.078771"
"22813";"102";"3551.78";"195";"18.214256"
"22814";"62";"657.35";"216";"3.043287"
"22815";"67";"1028.12";"251";"4.096096"
"22816";"144";"1606.08";"248";"6.476129"
"22817";"71";"1033.45";"279";"3.704122"
"22818";"136";"1368.24";"227";"6.027489"
"22819";"81";"956.49";"255";"3.750941"
"22820";"35";"357.02";"66";"5.409394"
"22821";"47";"621.27";"130";"4.779000"
"22822";"117";"2308.06";"151";"15.285166"
"22823";"12";"209.79";"13";"16.137692"
"22824";"39";"509.49";"41";"12.426585"
"22825";"24";"558.93";"29";"19.273448"
"22826";"31";"509.49";"39";"13.063846"
"22827";"20";"269.73";"26";"10.374231"
"22828";"7";"99.90";"7";"14.271429"
"22829";"74";"1899.65";"104";"18.265865"
"22830";"6";"1308.69";"8";"163.586250"
"22831";"81";"1455.90";"105";"13.865714"
"22832";"59";"1208.79";"70";"17.268429"
"22833";"5";"759.24";"7";"108.462857"
"22834";"189";"6426.38";"354";"18.153616"
"22835";"310";"15524.96";"636";"24.410314"
"22837";"101";"4961.33";"175";"28.350457"
"22838";"106";"2527.07";"147";"17.190952"
"22839";"100";"3016.58";"187";"16.131444"
"22840";"174";"4608.87";"234";"19.696026"
"22841";"144";"3187.40";"195";"16.345641"
"22842";"107";"2206.30";"137";"16.104380"
"22843";"85";"1690.72";"112";"15.095714"
"22844";"161";"7796.64";"393";"19.838779"
"22845";"134";"4663.36";"286";"16.305455"
"22846";"131";"4370.63";"215";"20.328512"
"22847";"184";"6103.89";"303";"20.144851"
"22848";"52";"2087.91";"101";"20.672376"
"22849";"66";"2197.80";"101";"21.760396"
"22851";"183";"2064.34";"325";"6.351815"
"22852";"74";"1536.88";"114";"13.481404"
"22853";"70";"1499.96";"110";"13.636000"
"22854";"120";"3523.72";"156";"22.587949"
"22855";"152";"3223.35";"237";"13.600633"
"22856";"17";"286.20";"23";"12.443478"
"22857";"37";"441.37";"41";"10.765122"
"22858";"87";"894.33";"116";"7.709741"
"22859";"88";"967.32";"125";"7.738560"
"22860";"72";"730.67";"96";"7.611146"
"22861";"30";"255.63";"41";"6.234878"
"22862";"41";"822.70";"65";"12.656923"
"22863";"67";"1221.23";"95";"12.855053"
"22865";"359";"16463.98";"632";"26.050601"
"22866";"320";"13615.32";"542";"25.120517"
"22867";"321";"13102.79";"541";"24.219575"
"22868";"10";"131.00";"19";"6.894737"
"22869";"19";"228.59";"44";"5.195227"
"22870";"14";"226.64";"38";"5.964211"
"22871";"10";"147.75";"24";"6.156250"
"22872";"13";"161.86";"29";"5.581379"
"22873";"12";"129.90";"25";"5.196000"
"22874";"10";"135.21";"20";"6.760500"
"22875";"14";"133.49";"24";"5.562083"
"22876";"11";"123.21";"19";"6.484737"
"22877";"13";"120.56";"19";"6.345263"
"22878";"12";"202.09";"34";"5.943824"
"22879";"7";"102.46";"16";"6.403750"
"22880";"9";"200.59";"32";"6.268438"
"22881";"10";"197.56";"34";"5.810588"
"22882";"14";"211.75";"43";"4.924419"
"22883";"10";"189.53";"33";"5.743333"
"22884";"13";"194.05";"36";"5.390278"
"22885";"11";"170.83";"29";"5.890690"
"22886";"9";"146.43";"25";"5.857200"
"22887";"9";"126.78";"23";"5.512174"
"22888";"8";"124.98";"21";"5.951429"
"22889";"7";"272.20";"33";"8.248485"
"22890";"85";"2862.14";"150";"19.080933"
"22891";"60";"1716.43";"155";"11.073742"
"22892";"90";"2059.95";"160";"12.874688"
"22893";"38";"657.24";"134";"4.904776"
"22894";"58";"1768.53";"83";"21.307590"
"22895";"131";"3423.70";"221";"15.491855"
"22896";"130";"3419.81";"270";"12.665963"
"22897";"114";"1406.70";"183";"7.686885"
"22898";"165";"3569.92";"304";"11.743158"
"22899";"154";"2344.83";"256";"9.159492"
"22900";"169";"13262.68";"501";"26.472415"
"22902";"64";"2384.98";"129";"18.488217"
"22903";"20";"497.50";"57";"8.728070"
"22904";"147";"4478.11";"246";"18.203699"
"22905";"47";"1195.19";"105";"11.382762"
"22906";"142";"2784.52";"242";"11.506281"
"22907";"315";"3770.47";"584";"6.456284"
"22908";"168";"1765.68";"295";"5.985356"
"22909";"348";"6543.54";"572";"11.439755"
"22910";"460";"30502.99";"801";"38.081136"
"22911";"66";"1013.74";"90";"11.263778"
"22912";"65";"1089.63";"88";"12.382159"
"22913";"67";"1149.54";"96";"11.974375"
"22914";"88";"1545.84";"129";"11.983256"
"22915";"88";"1002.86";"157";"6.387643"
"22916";"124";"1171.51";"231";"5.071472"
"22917";"126";"1184.52";"232";"5.105690"
"22918";"123";"1110.55";"229";"4.849563"
"22919";"126";"1079.81";"234";"4.614573"
"22920";"126";"1154.64";"233";"4.955536"
"22921";"111";"1047.27";"204";"5.133676"
"22922";"53";"869.91";"80";"10.873875"
"22923";"52";"731.69";"65";"11.256769"
"22924";"55";"761.60";"79";"9.640506"
"22925";"119";"2347.75";"178";"13.189607"
"22926";"135";"3307.45";"189";"17.499735"
"22927";"90";"2328.27";"142";"16.396268"
"22928";"58";"1602.16";"111";"14.433874"
"22929";"7";"49.95";"8";"6.243750"
"22930";"109";"2408.05";"176";"13.682102"
"22931";"84";"1311.40";"116";"11.305172"
"22932";"44";"910.08";"60";"15.168000"
"22933";"76";"1803.47";"114";"15.819912"
"22934";"57";"1161.07";"70";"16.586714"
"22935";"42";"1235.82";"59";"20.946102"
"22936";"26";"402.47";"44";"9.147045"
"22937";"102";"1941.04";"136";"14.272353"
"22938";"145";"3669.63";"169";"21.713787"
"22939";"55";"1457.15";"98";"14.868878"
"22940";"216";"5659.75";"289";"19.583910"
"22941";"196";"11995.76";"289";"41.507820"
"22942";"111";"3592.99";"144";"24.951319"
"22943";"127";"6285.33";"203";"30.962217"
"22944";"45";"1452.11";"101";"14.377327"
"22945";"106";"2265.23";"156";"14.520705"
"22946";"60";"3262.75";"128";"25.490234"
"22947";"71";"5650.68";"120";"47.089000"
"22948";"60";"1244.59";"126";"9.877698"
"22949";"68";"753.45";"89";"8.465730"
"22950";"148";"4641.55";"171";"27.143567"
"22951";"199";"2134.35";"372";"5.737500"
"22952";"322";"7948.52";"583";"13.633825"
"22953";"57";"540.86";"93";"5.815699"
"22954";"20";"231.38";"40";"5.784500"
"22955";"74";"1543.95";"114";"13.543421"
"22956";"124";"1792.68";"167";"10.734611"
"22957";"144";"2801.65";"169";"16.577811"
